key,translation,options,desc_en,desc_vi,chapter,status,notes
"assets"                                                 , ""                                                       , "", "", "", 20, "proposal", ""
"bell"                                                   , "Bell"                                                   , "", "", "", 20, "approved", "Tên riêng, không dịch"
"bill and melinda gates foundation"                      , "Bill and Melinda Gates Foundation"                      , "", "", "", 20, "approved", "Tên riêng, không dịch"
"biodiversity"                                           , "sự đa dạng sinh học"                                    , "", "approved", "", 20, "approved", ""
"boas"                                                   , "Boas"                                                   , "", "", "", 20, "approved", "Tên riêng, không dịch"
"brown"                                                  , "Brown"                                                  , "", "", "", 20, "approved", "Tên riêng, không dịch"
"council for the preservation of anthropological records", "Council for the Preservation of Anthropological Records", "", "", "", 20, "approved", "Tên riêng, không dịch"
"cultural relativism"                                    , "cultural relativism"                                    , "", "", "", 20, "approved", "Tên riêng, không dịch"
"davis"                                                  , "Davis"                                                  , "", "", "", 20, "approved", "Tên riêng, không dịch"
"diversity"                                              , "Diversity"                                              , "", "", "", 20, "approved", "Tên riêng, không dịch"
"ethnosphere"                                            , "không gian dân tộc"                                     , "", "approved", "", 20, "approved", ""
"geertz"                                                 , "Geertz"                                                 , "", "", "", 20, "approved", "Tên riêng, không dịch"
"godelier"                                               , "Godelier"                                               , "", "", "", 20, "approved", "Tên riêng, không dịch"
"ingold"                                                 , "Ingold"                                                 , "", "", "", 20, "approved", "Tên riêng, không dịch"
"kayan"                                                  , "Kayan"                                                  , "", "", "", 20, "approved", "Tên riêng, không dịch"
"matrix model"                                           , "matrix model"                                           , "", "", "", 20, "approved", "Tên riêng, không dịch"
"megafauna"                                              , "megafauna"                                              , "", "", "", 20, "approved", "Tên riêng, không dịch"
"net-positive houses"                                    , "net-positive houses"                                    , "", "", "", 20, "approved", "Tên riêng, không dịch"
"nichter"                                                , "Nichter"                                                , "", "", "", 20, "approved", "Tên riêng, không dịch"
"species reintroduction"                                 , "species reintroduction"                                 , "", "", "", 20, "approved", "Tên riêng, không dịch"
"terrace farming"                                        , "terrace farming"                                        , "", "", "", 20, "approved", "Tên riêng, không dịch"
"tett"                                                   , "Tett"                                                   , "", "", "", 20, "approved", "Tên riêng, không dịch"
"united nations"                                         , "United Nations"                                         , "", "", "", 20, "approved", "Tên riêng, không dịch"
"universal declaration of human rights"                  , "Universal Declaration of Human Rights"                  , "", "", "", 20, "approved", "Tên riêng, không dịch"
"values"                                                 , "giá trị"                                                , "", "approved", "", 20, "approved", ""
"wilson"                                                 , "Wilson"                                                 , "", "", "", 20, "approved", "Tên riêng, không dịch"
