key,translation,options,desc_en,desc_vi,chapter,status,notes
"afreh"                  , "Afreh"                         , "", "", "", 6, "approved", "Tên riêng, không dịch"
"arbib"                  , "Arbib"                         , "", "", "", 6, "approved", "Tên riêng, không dịch"
"ash"                    , "Ash"                           , "", "", "", 6, "approved", "Tên riêng, không dịch"
"austin"                 , "Austin"                        , "", "", "", 6, "approved", "Tên riêng, không dịch"
"baird"                  , "Baird"                         , "", "", "", 6, "approved", "Tên riêng, không dịch"
"baugh"                  , "Baugh"                         , "", "", "", 6, "approved", "Tên riêng, không dịch"
"berlin"                 , "Berlin"                        , "", "", "", 6, "approved", "Tên riêng, không dịch"
"boberg"                 , "Boberg"                        , "", "", "", 6, "approved", "Tên riêng, không dịch"
"butler"                 , "Butler"                        , "", "", "", 6, "approved", "Tên riêng, không dịch"
"code-switching"         , "chuyển đổi mã"                 , "", "approved", "", 6, "approved", ""
"communication"          , "giao tiếp"                     , "", "approved", "", 6, "approved", ""
"dialect"                , "phương ngữ"                    , "", "approved", "", 6, "approved", ""
"epps"                   , "Epps"                          , "", "", "", 6, "approved", "Tên riêng, không dịch"
"folk taxonomies"        , "phân loại dân gian"            , "", "approved", "", 6, "approved", ""
"foxp2"                  , "FOXP2"                         , "", "approved", "", 6, "approved", ""
"hall"                   , "Hall"                          , "", "", "", 6, "approved", "Tên riêng, không dịch"
"hill"                   , "Hill"                          , "", "", "", 6, "approved", "Tên riêng, không dịch"
"hyde"                   , "Hyde"                          , "", "", "", 6, "approved", "Tên riêng, không dịch"
"idsardi"                , "Idsardi"                       , "", "", "", 6, "approved", "Tên riêng, không dịch"
"incantations"           , ""                              , "", "", "", 6, "proposal", ""
"johnson"                , "Johnson"                       , "", "", "", 6, "approved", "Tên riêng, không dịch"
"kay"                    , "Kay"                           , "", "", "", 6, "approved", "Tên riêng, không dịch"
"kempton"                , "Kempton"                       , "", "", "", 6, "approved", "Tên riêng, không dịch"
"koko"                   , "Koko"                          , "", "", "", 6, "approved", "Tên riêng, không dịch"
"labov"                  , "Labov"                         , "", "", "", 6, "approved", "Tên riêng, không dịch"
"lakoff"                 , "Lakoff"                        , "", "", "", 6, "approved", "Tên riêng, không dịch"
"language"               , "ngôn ngữ"                      , "", "approved", "", 6, "approved", ""
"language acquisition"   , "tiếp thu ngôn ngữ"             , "", "approved", "", 6, "approved", ""
"language ideologies"    , "ngôn ngữ hệ tư tưởng"          , "", "approved", "", 6, "approved", ""
"language revitalization", "phục hồi ngôn ngữ"             , "", "approved", "", 6, "approved", ""
"language socialization" , "xã hội hóa ngôn ngữ"           , "", "approved", "", 6, "approved", ""
"levinson"               , "Levinson"                      , "", "", "", 6, "approved", "Tên riêng, không dịch"
"linguistic relativity"  , "thuyết tương đối ngôn ngữ"     , "", "approved", "", 6, "approved", ""
"linguistic universals"  , "các quy luật ngôn ngữ phổ quát", "", "approved", "", 6, "approved", ""
"malinowski"             , "Malinowski"                    , "", "", "", 6, "approved", "Tên riêng, không dịch"
"martin"                 , "Martin"                        , "", "", "", 6, "approved", "Tên riêng, không dịch"
"metaphor"               , "ẩn dụ"                         , "", "approved", "", 6, "approved", ""
"mirror neurons"         , "tế bào thần kinh phản chiếu"   , "", "approved", "", 6, "approved", ""
"naming ceremonies"      , ""                              , "", "", "", 6, "proposal", ""
"obama"                  , "Obama"                         , "", "", "", 6, "approved", "Tên riêng, không dịch"
"patterson"              , "Patterson"                     , "", "", "", 6, "approved", "Tên riêng, không dịch"
"performativity"         , "khả năng trình diễn"           , "", "approved", "", 6, "approved", ""
"protolanguage"          , "ngôn ngữ nguyên thủy"          , "", "approved", "", 6, "approved", ""
"purnell"                , "Purnell"                       , "", "", "", 6, "approved", "Tên riêng, không dịch"
"ramos"                  , "Ramos"                         , "", "", "", 6, "approved", "Tên riêng, không dịch"
"sapir-whorf hypothesis" , "Giả thuyết Sapir-Whorf"        , "", "approved", "", 6, "approved", ""
"solnit"                 , "Solnit"                        , "", "", "", 6, "approved", "Tên riêng, không dịch"
"speech community"       , "cộng đồng ngôn ngữ"            , "", "approved", "", 6, "approved", ""
"sweet"                  , "Sweet"                         , "", "", "", 6, "approved", "Tên riêng, không dịch"
"tannen"                 , "Tannen"                        , "", "", "", 6, "approved", "Tên riêng, không dịch"
"vernacular"             , "ngôn ngữ bản địa"              , "", "approved", "", 6, "approved", ""
