key,translation,options,desc_en,desc_vi,chapter,status,notes
"average"                                   , "trung bình"                                 , "", "approved", "", 1, "approved", ""
"bar graph"                                 , "biểu đồ cột"                                , "", "approved", "", 1, "approved", ""
"blinding"                                  , "làm mù"                                     , "", "approved", "", 1, "approved", ""
"categorical data"                          , "dữ liệu phân loại"                          , "", "approved", "", 1, "approved", ""
"categorical variables"                     , "biến phân loại"                             , "", "approved", "", 1, "approved", ""
"cluster sample"                            , "mẫu cụm"                                    , "", "approved", "", 1, "approved", ""
"continuous"                                , "liên tục"                                   , "", "approved", "", 1, "approved", ""
"control group"                             , "nhóm đối chứng"                             , "", "approved", "", 1, "approved", ""
"convenience sampling"                      , "lấy mẫu thuận tiện"                         , "", "approved", "", 1, "approved", ""
"cumulative relative frequency"             , "tần suất tương đối lũy tích"                , "", "approved", "", 1, "approved", ""
"data"                                      , "dữ liệu"                                    , "", "approved", "", 1, "approved", ""
"descriptive statistics"                    , "thống kê mô tả"                             , "", "approved", "", 1, "approved", ""
"discrete"                                  , "rời rạc"                                    , "", "approved", "", 1, "approved", ""
"double-blind experiment"                   , "thực nghiệm mù kép"                         , "", "approved", "", 1, "approved", ""
"experimental unit"                         , "đơn vị thực nghiệm"                         , "", "approved", "", 1, "approved", ""
"explanatory variable"                      , "biến giải thích"                            , "", "approved", "", 1, "approved", ""
"frequency"                                 , "tần số"                                     , "", "approved", "", 1, "approved", ""
"inferential statistics"                    , "thống kê suy luận"                          , "", "approved", "", 1, "approved", ""
"informed consent"                          , "sự đồng ý tự nguyện sau khi được giải thích", "", "approved", "", 1, "approved", ""
"institutional review boards (irb)"         , "hội đồng đạo đức nghiên cứu cấp cơ sở"      , "", "approved", "", 1, "approved", ""
"interval scale"                            , "thang đo khoảng"                            , "", "approved", "", 1, "approved", ""
"level of measurement"                      , "mức độ đo lường"                            , "", "approved", "", 1, "approved", ""
"lurking variables"                         , "biến ẩn"                                    , "", "approved", "", 1, "approved", ""
"mean"                                      , "số trung bình"                              , "", "approved", "", 1, "approved", ""
"nominal scale"                             , "thang đo định danh"                         , "", "approved", "", 1, "approved", ""
"nonsampling errors"                        , "sai số phi lấy mẫu"                         , "", "approved", "", 1, "approved", ""
"numerical variables"                       , "biến định lượng"                            , "", "approved", "", 1, "approved", ""
"ordinal scale"                             , "thang đo thứ bậc"                           , "", "approved", "", 1, "approved", ""
"parameter"                                 , "tham số"                                    , "", "approved", "", 1, "approved", ""
"pareto chart"                              , "biểu đồ Pareto"                             , "", "approved", "", 1, "approved", ""
"pearson"                                   , "Pearson"                                    , "", "approved", "", 1, "approved", ""
"pie chart"                                 , "biểu đồ tròn"                               , "", "approved", "", 1, "approved", ""
"placebo"                                   , "giả dược"                                   , "", "approved", "", 1, "approved", ""
"population"                                , "quần thể"                                   , "", "approved", "", 1, "approved", ""
"probability"                               , "xác suất"                                   , "", "approved", "", 1, "approved", ""
"proportion"                                , "tỷ lệ"                                      , "", "approved", "", 1, "approved", ""
"qualitative data"                          , "dữ liệu định tính"                          , "", "approved", "", 1, "approved", ""
"quantitative continuous data"              , "dữ liệu định lượng liên tục"                , "", "approved", "", 1, "approved", ""
"quantitative data"                         , "dữ liệu định lượng"                         , "", "approved", "", 1, "approved", ""
"quantitative discrete data"                , "dữ liệu định lượng rời rạc"                 , "", "approved", "", 1, "approved", ""
"random assignment"                         , "phân bổ ngẫu nhiên"                         , "", "approved", "", 1, "approved", ""
"random sampling"                           , "lấy mẫu ngẫu nhiên"                         , "", "approved", "", 1, "approved", ""
"ratio scale"                               , "thang đo tỷ lệ"                             , "", "approved", "", 1, "approved", ""
"relative frequency"                        , "tần suất tương đối"                         , "", "approved", "", 1, "approved", ""
"representative sample"                     , "mẫu đại diện"                               , "", "approved", "", 1, "approved", ""
"response variable"                         , "biến phản hồi"                              , "", "approved", "", 1, "approved", ""
"sample"                                    , "mẫu"                                        , "", "approved", "", 1, "approved", ""
"samples"                                   , "các mẫu"                                    , "", "approved", "", 1, "approved", ""
"sampling"                                  , "lấy mẫu"                                    , "", "approved", "", 1, "approved", ""
"sampling bias"                             , "chệch chọn mẫu"                             , "", "approved", "", 1, "approved", ""
"sampling errors"                           , "sai số chọn mẫu"                            , "", "approved", "", 1, "approved", ""
"sampling with replacement"                 , "lấy mẫu có hoàn lại"                        , "", "approved", "", 1, "approved", ""
"simple random sampling without replacement", "lấy mẫu ngẫu nhiên đơn giản không hoàn lại" , "", "approved", "", 1, "approved", ""
"statistic"                                 , "trị thống kê"                               , "", "approved", "", 1, "approved", ""
"statistics"                                , "thống kê học"                               , "", "approved", "", 1, "approved", ""
"stratified sample"                         , "mẫu phân tầng"                              , "", "approved", "", 1, "approved", ""
"systematic sample"                         , "mẫu hệ thống"                               , "", "approved", "", 1, "approved", ""
"treatments"                                , "nghiệm thức"                                , "", "approved", "", 1, "approved", ""
"variable"                                  , "biến"                                       , "", "approved", "", 1, "approved", ""
"variation"                                 , "sự biến thiên"                              , "", "approved", "", 1, "approved", ""
