key,translation,options,desc_en,desc_vi,chapter,status,notes
"american indian movement"                   , "Phong trào người Mỹ bản địa"                , "", "approved", "", 19, "approved", ""
"animistic"                                  , "thuyết vật linh"                            , "", "approved", "", 19, "approved", ""
"applied anthropology"                       , "Applied anthropology"                       , "", "", "", 19, "approved", "Tên riêng, không dịch"
"assimilation"                               , "sự đồng hóa"                                , "", "approved", "", 19, "approved", ""
"basketry"                                   , "đan lát"                                    , "", "approved", "", 19, "approved", ""
"blood quantum"                              , "lượng máu"                                  , "", "approved", "", 19, "approved", ""
"boarding schools"                           , "trường nội trú"                             , "", "approved", "", 19, "approved", ""
"camas bulbs"                                , "camas bulbs"                                , "", "", "", 19, "approved", "Tên riêng, không dịch"
"cascadia cave"                              , "Cascadia Cave"                              , "", "", "", 19, "approved", "Tên riêng, không dịch"
"cherokee"                                   , "Cherokee"                                   , "", "", "", 19, "approved", "Tên riêng, không dịch"
"cherokee trail of tears"                    , "Cherokee Trail of Tears"                    , "", "", "", 19, "approved", "Tên riêng, không dịch"
"chief illiniwek"                            , "Chief Illiniwek"                            , "", "", "", 19, "approved", "Tên riêng, không dịch"
"choctaw"                                    , "Choctaw"                                    , "", "", "", 19, "approved", "Tên riêng, không dịch"
"clackamas chinook"                          , "Clackamas Chinook"                          , "", "", "", 19, "approved", "Tên riêng, không dịch"
"coast chumash tribe"                        , "Coast Chumash tribe"                        , "", "", "", 19, "approved", "Tên riêng, không dịch"
"coquille indian tribe"                      , "Coquille Indian Tribe"                      , "", "", "", 19, "approved", "Tên riêng, không dịch"
"crater lake"                                , "Crater Lake"                                , "", "", "", 19, "approved", "Tên riêng, không dịch"
"creek"                                      , "Creek"                                      , "", "", "", 19, "approved", "Tên riêng, không dịch"
"cultural experts"                           , "cultural experts"                           , "", "", "", 19, "approved", "Tên riêng, không dịch"
"curtis"                                     , "Curtis"                                     , "", "", "", 19, "approved", "Tên riêng, không dịch"
"decolonize anthropology"                    , "decolonize anthropology"                    , "", "", "", 19, "approved", "Tên riêng, không dịch"
"deloria jr."                                , "Deloria Jr."                                , "", "", "", 19, "approved", "Tên riêng, không dịch"
"domestic dependent nations"                 , "domestic dependent nations"                 , "", "", "", 19, "approved", "Tên riêng, không dịch"
"drucker"                                    , "Drucker"                                    , "", "", "", 19, "approved", "Tên riêng, không dịch"
"elders"                                     , "Elders"                                     , "", "", "", 19, "approved", "Tên riêng, không dịch"
"erlandson"                                  , "Erlandson"                                  , "", "", "", 19, "approved", "Tên riêng, không dịch"
"farque"                                     , "Farque"                                     , "", "", "", 19, "approved", "Tên riêng, không dịch"
"federal indian reservations"                , ""                                           , "", "", "", 19, "proposal", ""
"fishing and hunting rights"                 , "fishing and hunting rights"                 , "", "", "", 19, "approved", "Tên riêng, không dịch"
"fishing wars"                               , "fishing wars"                               , "", "", "", 19, "approved", "Tên riêng, không dịch"
"gis (geographic information system)"        , "GIS (geographic information system)"        , "", "", "", 19, "approved", "Tên riêng, không dịch"
"grand ronde tribe"                          , "Grand Ronde tribe"                          , "", "", "", 19, "approved", "Tên riêng, không dịch"
"hybrid societies"                           , "hybrid societies"                           , "", "", "", 19, "approved", "Tên riêng, không dịch"
"hymes"                                      , "Hymes"                                      , "", "", "", 19, "approved", "Tên riêng, không dịch"
"indian claims"                              , "Yêu sách của người Ấn Độ"                   , "", "approved", "", 19, "approved", ""
"indian claims commission"                   , "Indian Claims Commission"                   , "", "", "", 19, "approved", "Tên riêng, không dịch"
"indian gaming regulatory act"               , "Indian Gaming Regulatory Act"               , "", "", "", 19, "approved", "Tên riêng, không dịch"
"indian mascots"                             , "linh vật Ấn Độ"                             , "", "approved", "", 19, "approved", ""
"indians"                                    , "người Ấn Độ"                                , "", "approved", "", 19, "approved", ""
"indigenous languages"                       , "Indigenous languages"                       , "", "", "", 19, "approved", "Tên riêng, không dịch"
