key,translation,options,desc_en,desc_vi,chapter,status,notes
"acheulean industry"           , "Acheulean industry"         , "", "", "", 5, "approved", "Tên riêng, không dịch"
"archaic homo"                 , ""                           , "", "", "", 5, "proposal", ""
"atlatl"                       , "atlatl"                     , "", "", "", 5, "approved", "Tên riêng, không dịch"
"berger"                       , "Berger"                     , "", "", "", 5, "approved", "Tên riêng, không dịch"
"biface"                       , ""                           , "", "", "", 5, "proposal", ""
"blade tool industry"          , "blade tool industry"        , "", "", "", 5, "approved", "Tên riêng, không dịch"
"blade tools"                  , "blade tools"                , "", "", "", 5, "approved", "Tên riêng, không dịch"
"bodo"                         , "Bodo"                       , "", "", "", 5, "approved", "Tên riêng, không dịch"
"bohlender"                    , "Bohlender"                  , "", "", "", 5, "approved", "Tên riêng, không dịch"
"brocaâs area"               , ""                           , "", "", "", 5, "proposal", ""
"brodmann areas"               , "Brodmann areas"             , "", "", "", 5, "approved", "Tên riêng, không dịch"
"burin"                        , "burin"                      , "", "", "", 5, "approved", "Tên riêng, không dịch"
"calculating eq"               , "calculating EQ"             , "", "", "", 5, "approved", "Tên riêng, không dịch"
"canine fossa"                 , ""                           , "", "", "", 5, "proposal", ""
"cave paintings"               , "cave paintings"             , "", "", "", 5, "approved", "Tên riêng, không dịch"
"chauvet"                      , "Chauvet"                    , "", "", "", 5, "approved", "Tên riêng, không dịch"
"cleaver"                      , "cleaver"                    , "", "", "", 5, "approved", "Tên riêng, không dịch"
"coevolution"                  , ""                           , "", "", "", 5, "proposal", ""
"cranial capacity"             , ""                           , "", "", "", 5, "proposal", ""
"denisova 11"                  , "Denisova 11"                , "", "", "", 5, "approved", "Tên riêng, không dịch"
"denisova cave"                , "Denisova Cave"              , "", "", "", 5, "approved", "Tên riêng, không dịch"
"denisovans"                   , "Denisovans"                 , "", "", "", 5, "approved", "Tên riêng, không dịch"
"dubois"                       , "Dubois"                     , "", "", "", 5, "approved", "Tên riêng, không dịch"
"early archaic"                , "Early Archaic"              , "", "", "", 5, "approved", "Tên riêng, không dịch"
"encephalization"              , ""                           , "", "", "", 5, "proposal", ""
"encephalization quotient (eq)", ""                           , "", "", "", 5, "proposal", ""
"endocranial cast"             , ""                           , "", "", "", 5, "proposal", ""
"evolutionary mismatch"        , ""                           , "", "", "", 5, "proposal", ""
"expensive tissue hypothesis"  , "expensive tissue hypothesis", "", "", "", 5, "approved", "Tên riêng, không dịch"
"flake tools"                  , "flake tools"                , "", "", "", 5, "approved", "Tên riêng, không dịch"
"flint knapping"               , "flint knapping"             , "", "", "", 5, "approved", "Tên riêng, không dịch"
"foxp2"                        , "FOXP2"                      , "", "", "", 5, "approved", "Tên riêng, không dịch"
"frayer"                       , "Frayer"                     , "", "", "", 5, "approved", "Tên riêng, không dịch"
"genome"                       , ""                           , "", "", "", 5, "proposal", ""
"ghost populations"            , ""                           , "", "", "", 5, "proposal", ""
"gran dolina"                  , "Gran Dolina"                , "", "", "", 5, "approved", "Tên riêng, không dịch"
"gravettian tool industry"     , "Gravettian tool industry"   , "", "", "", 5, "approved", "Tên riêng, không dịch"
"h. habilis"                   , "H. habilis"                 , "", "", "", 5, "approved", "Tên riêng, không dịch"
"h. longi"                     , "H. longi"                   , "", "", "", 5, "approved", "Tên riêng, không dịch"
"h. luzonensis"                , "H. luzonensis"              , "", "", "", 5, "approved", "Tên riêng, không dịch"
"h. rudolfensis"               , "H. rudolfensis"             , "", "", "", 5, "approved", "Tên riêng, không dịch"
"h. sapiens"                   , "H. sapiens"                 , "", "", "", 5, "approved", "Tên riêng, không dịch"
"hafting"                      , ""                           , "", "", "", 5, "proposal", ""
"hand axe"                     , "hand axe"                   , "", "", "", 5, "approved", "Tên riêng, không dịch"
"handedness"                   , ""                           , "", "", "", 5, "proposal", ""
"hard hammer percussion"       , "hard hammer percussion"     , "", "", "", 5, "approved", "Tên riêng, không dịch"
"homo antecessor"              , "Homo antecessor"            , "", "", "", 5, "approved", "Tên riêng, không dịch"
"homo erectus"                 , "Homo erectus"               , "", "", "", 5, "approved", "Tên riêng, không dịch"
"homo ergaster"                , "Homo ergaster"              , "", "", "", 5, "approved", "Tên riêng, không dịch"
"homo floresiensis"            , "Homo floresiensis"          , "", "", "", 5, "approved", "Tên riêng, không dịch"
"homo habilis"                 , "Homo habilis"               , "", "", "", 5, "approved", "Tên riêng, không dịch"
"homo heidelbergensis"         , "Homo heidelbergensis"       , "", "", "", 5, "approved", "Tên riêng, không dịch"
"homo naledi"                  , "Homo naledi"                , "", "", "", 5, "approved", "Tên riêng, không dịch"
"human genome project"         , "Human Genome Project"       , "", "", "", 5, "approved", "Tên riêng, không dịch"
"human variability"            , "Human variability"          , "", "", "", 5, "approved", "Tên riêng, không dịch"
"intentional burials"          , ""                           , "", "", "", 5, "proposal", ""
"island dwarfism"              , ""                           , "", "", "", 5, "proposal", ""
"kelso"                        , "Kelso"                      , "", "", "", 5, "approved", "Tên riêng, không dịch"
"kimeu"                        , "Kimeu"                      , "", "", "", 5, "approved", "Tên riêng, không dịch"
"lake turkana"                 , "Lake Turkana"               , "", "", "", 5, "approved", "Tên riêng, không dịch"
"lascaux caves"                , "Lascaux Caves"              , "", "", "", 5, "approved", "Tên riêng, không dịch"
"late archaic"                 , "Late Archaic"               , "", "", "", 5, "approved", "Tên riêng, không dịch"
"leakey"                       , "Leakey"                     , "", "", "", 5, "approved", "Tên riêng, không dịch"
"lieberman"                    , "Lieberman"                  , "", "", "", 5, "approved", "Tên riêng, không dịch"
"lithic reduction"             , ""                           , "", "", "", 5, "proposal", ""
"magdalenian tool industry"    , "Magdalenian tool industry"  , "", "", "", 5, "approved", "Tên riêng, không dịch"
"mauer"                        , "Mauer"                      , "", "", "", 5, "approved", "Tên riêng, không dịch"
"melanin"                      , ""                           , "", "", "", 5, "proposal", ""
"mitochondria (mtdna)"         , ""                           , "", "", "", 5, "proposal", ""
"mitochondrial eve or mtmrca"  , ""                           , "", "", "", 5, "proposal", ""
"modern humans"                , "modern humans"              , "", "", "", 5, "approved", "Tên riêng, không dịch"
"mousterian tool industry"     , ""                           , "", "", "", 5, "proposal", ""
"napier"                       , "Napier"                     , "", "", "", 5, "approved", "Tên riêng, không dịch"
"nariokotome boy"              , "Nariokotome Boy"            , "", "", "", 5, "approved", "Tên riêng, không dịch"
"neanderthal"                  , "Neanderthal"                , "", "", "", 5, "approved", "Tên riêng, không dịch"
"neanderthal dna"              , "Neanderthal DNA"            , "", "", "", 5, "approved", "Tên riêng, không dịch"
"occipital bun"                , ""                           , "", "", "", 5, "proposal", ""
"oldowan tool industry"        , ""                           , "", "", "", 5, "proposal", ""
"olduvai gorge"                , "Olduvai Gorge"              , "", "", "", 5, "approved", "Tên riêng, không dịch"
