key,translation,options,desc_en,desc_vi,chapter,status,notes
"binomial distribution"               , ""             , "", "", "", 7, "proposal", ""
"central limit theorem"               , ""             , "", "", "", 7, "proposal", ""
"central limit theorem for means"     , ""             , "", "", "", 7, "proposal", ""
"central limit theorem for sums"      , ""             , "", "", "", 7, "proposal", ""
"continuity correction factor"        , ""             , "", "", "", 7, "proposal", ""
"exponential distribution"            , "phân phối mũ" , "", "approved", "", 7, "approved", ""
"law of large numbers"                , "luật số lớn"  , "", "approved", "", 7, "approved", ""
"mean"                                , "số trung bình", "", "approved", "", 7, "approved", ""
"normal approximation to the binomial", ""             , "", "", "", 7, "proposal", ""
"normally distributed"                , ""             , "", "", "", 7, "proposal", ""
"percentile"                          , ""             , "", "", "", 7, "proposal", ""
"sample mean"                         , ""             , "", "", "", 7, "proposal", ""
"sample size"                         , ""             , "", "", "", 7, "proposal", ""
"standard error of the mean."         , ""             , "", "", "", 7, "proposal", ""
"uniform distribution"                , ""             , "", "", "", 7, "proposal", ""
