key,translation,options,desc_en,desc_vi,chapter,status,notes
"""and"" event"               , "biến cố ""và"""            , "", "approved", "", 3, "approved", ""
"""or"" event"                , "biến cố ""hoặc"""          , "", "approved", "", 3, "approved", ""
"complement of event a"       , "biến cố đối của biến cố A" , "", "approved", "", 3, "approved", ""
"conditional probability"     , "xác suất có điều kiện"     , "", "approved", "", 3, "approved", ""
"contingency table"           , "bảng ngẫu nhiên"           , "", "approved", "", 3, "approved", ""
"dependent events"            , "các biến cố phụ thuộc"     , "", "approved", "", 3, "approved", ""
"equally likely"              , "đồng khả năng"             , "", "approved", "", 3, "approved", ""
"event"                       , "biến cố"                   , "", "approved", "", 3, "approved", ""
"experiment"                  , "phép thử"                  , "", "approved", "", 3, "approved", ""
"fair"                        , "cân đối"                   , "", "approved", "", 3, "approved", ""
"independent"                 , "độc lập"                   , "", "approved", "", 3, "approved", ""
"independent events"          , "các biến cố độc lập"       , "", "approved", "", 3, "approved", ""
"law of large numbers"        , "luật số lớn"               , "", "approved", "", 3, "approved", ""
"long-term relative frequency", "tần suất tương đối dài hạn", "", "approved", "", 3, "approved", ""
"mutually exclusive"          , "xung khắc"                 , "", "approved", "", 3, "approved", ""
"outcome"                     , "kết quả"                   , "", "approved", "", 3, "approved", ""
"probability"                 , "xác suất"                  , "", "approved", "", 3, "approved", ""
"replacement"                 , "sự thay thế"               , "", "approved", "", 3, "approved", ""
"sample space"                , "không gian mẫu"            , "", "approved", "", 3, "approved", ""
"tree diagram"                , "sơ đồ cây"                 , "", "approved", "", 3, "approved", ""
"unfair"                      , "không cân đối"             , "", "approved", "", 3, "approved", ""
"venn diagram"                , "sơ đồ Venn"                , "", "approved", "", 3, "approved", ""
