key,translation,options,desc_en,desc_vi,chapter,status,notes
"absolute value of a residual" , "Giá trị tuyệt đối của phần dư"      , "", "approved", "", 12, "approved", ""
"bivariate"                    , "Hai biến"                           , "", "approved", "", 12, "approved", ""
"coefficient of determination" , "Hệ số xác định"                     , "", "approved", "", 12, "approved", ""
"extrapolation"                , "Ngoại suy"                          , "", "approved", "", 12, "approved", ""
"influential points"           , "Các điểm ảnh hưởng"                 , "", "approved", "", 12, "approved", ""
"interpolation"                , "Nội suy"                            , "", "approved", "", 12, "approved", ""
"least-squares line"           , "Đường bình phương tối thiểu"        , "", "approved", "", 12, "approved", ""
"least-squares regression line", "Đường hồi quy bình phương tối thiểu", "", "approved", "", 12, "approved", ""
"line of best fit"             , "Đường phù hợp nhất"                 , "", "approved", "", 12, "approved", ""
"linear regression"            , "Hồi quy tuyến tính"                 , "", "approved", "", 12, "approved", ""
"multivariate"                 , "Nhiều biến"                         , "", "approved", "", 12, "approved", ""
"outliers"                     , "Các điểm bất thường"                , "", "approved", "", 12, "approved", ""
"potential outlier"            , "Điểm bất thường tiềm ẩn"            , "", "approved", "", 12, "approved", ""
"residual"                     , "Phần dư"                            , "", "approved", "", 12, "approved", ""
"sum of squared errors (sse)"  , "Tổng bình phương sai số"            , "", "approved", "", 12, "approved", ""
