key,translation,options,desc_en,desc_vi,chapter,status,notes
"afterlife of slavery"                            , "afterlife of slavery"                            , "", "", "", 9, "approved", "Tên riêng, không dịch"
"agency"                                          , "hãng"                                            , "", "approved", "", 9, "approved", ""
"ahistorical"                                     , "phi lịch sử"                                     , "", "approved", "", 9, "approved", ""
"althusser"                                       , "Althusser"                                       , "", "", "", 9, "approved", "Tên riêng, không dịch"
"association of black anthropologists (aba)"      , "Association of Black Anthropologists (ABA)"      , "", "", "", 9, "approved", "Tên riêng, không dịch"
"austerity practices"                             , "austerity practices"                             , "", "", "", 9, "approved", "Tên riêng, không dịch"
"bailey"                                          , "Bailey"                                          , "", "", "", 9, "approved", "Tên riêng, không dịch"
"barbarism"                                       , "barbarism"                                       , "", "", "", 9, "approved", "Tên riêng, không dịch"
"barenboim"                                       , "Barenboim"                                       , "", "", "", 9, "approved", "Tên riêng, không dịch"
"berlin conference"                               , "Berlin Conference"                               , "", "", "", 9, "approved", "Tên riêng, không dịch"
"biopolitics"                                     , "biopolitics"                                     , "", "", "", 9, "approved", "Tên riêng, không dịch"
"biopower"                                        , "biopower"                                        , "", "", "", 9, "approved", "Tên riêng, không dịch"
"black feminism"                                  , "Black feminism"                                  , "", "", "", 9, "approved", "Tên riêng, không dịch"
"black in bioanthropology collective (biba)"      , "Black in Bioanthropology Collective (BiBA)"      , "", "", "", 9, "approved", "Tên riêng, không dịch"
"black lives matter"                              , "Black Lives Matter"                              , "", "", "", 9, "approved", "Tên riêng, không dịch"
"blue-collar"                                     , "blue-collar"                                     , "", "", "", 9, "approved", "Tên riêng, không dịch"
"blumenbach"                                      , "Blumenbach"                                      , "", "", "", 9, "approved", "Tên riêng, không dịch"
"bois"                                            , "Bois"                                            , "", "", "", 9, "approved", "Tên riêng, không dịch"
"bourdieu"                                        , "Bourdieu"                                        , "", "", "", 9, "approved", "Tên riêng, không dịch"
"bourgeoisie"                                     , "giai cấp tư sản"                                 , "", "approved", "", 9, "approved", ""
"brown"                                           , "Brown"                                           , "", "", "", 9, "approved", "Tên riêng, không dịch"
"capitalism"                                      , "capitalism"                                      , "", "", "", 9, "approved", "Tên riêng, không dịch"
"capitalist"                                      , "capitalist"                                      , "", "", "", 9, "approved", "Tên riêng, không dịch"
"caste"                                           , "đẳng cấp"                                        , "", "approved", "", 9, "approved", ""
"caucasian"                                       , "Caucasian"                                       , "", "", "", 9, "approved", "Tên riêng, không dịch"
"centers for disease control and prevention (cdc)", "Centers for Disease Control and Prevention (CDC)", "", "", "", 9, "approved", "Tên riêng, không dịch"
"civilization"                                    , "civilization"                                    , "", "", "", 9, "approved", "Tên riêng, không dịch"
"class societies"                                 , "class societies"                                 , "", "", "", 9, "approved", "Tên riêng, không dịch"
"class systems"                                   , "Class systems"                                   , "", "", "", 9, "approved", "Tên riêng, không dịch"
"classism"                                        , "classism"                                        , "", "", "", 9, "approved", "Tên riêng, không dịch"
"colonial williamsburg foundation"                , "Colonial Williamsburg Foundation"                , "", "", "", 9, "approved", "Tên riêng, không dịch"
"colonialism"                                     , "colonialism"                                     , "", "", "", 9, "approved", "Tên riêng, không dịch"
"color blindness"                                 , "mù màu"                                          , "", "approved", "", 9, "approved", ""
"conflict theory"                                 , "Conflict theory"                                 , "", "", "", 9, "approved", "Tên riêng, không dịch"
"counter-storytelling"                            , "counter-storytelling"                            , "", "", "", 9, "approved", "Tên riêng, không dịch"
"covid-19"                                        , "COVID-19"                                        , "", "", "", 9, "approved", "Tên riêng, không dịch"
"craniometry"                                     , "craniometry"                                     , "", "", "", 9, "approved", "Tên riêng, không dịch"
"crenshaw"                                        , "Crenshaw"                                        , "", "", "", 9, "approved", "Tên riêng, không dịch"
"critical race theorist"                          , "critical race theorist"                          , "", "", "", 9, "approved", "Tên riêng, không dịch"
"critical race theory (crt)"                      , "Thuyết chủng tộc phê phán (CRT)"                 , "", "", "", 9, "approved", ""
"cultural capital"                                , "vốn văn hóa"                                     , "", "approved", "", 9, "approved", ""
"darwin"                                          , "Darwin"                                          , "", "", "", 9, "approved", "Tên riêng, không dịch"
"davis"                                           , "Davis"                                           , "", "", "", 9, "approved", "Tên riêng, không dịch"
"decolonizing anthropology"                       , "giải thực dân hóa nhân học"                      , "", "approved", "", 9, "approved", ""
"diaspora"                                        , "cộng đồng người di cư"                           , "", "approved", "", 9, "approved", ""
"division of labor"                               , "Division of labor"                               , "", "", "", 9, "approved", "Tên riêng, không dịch"
"downward social mobility"                        , "sự suy giảm địa vị xã hội"                       , "", "approved", "", 9, "approved", ""
"drake"                                           , "Drake"                                           , "", "", "", 9, "approved", "Tên riêng, không dịch"
"durkheim"                                        , "Durkheim"                                        , "", "", "", 9, "approved", "Tên riêng, không dịch"
"east jerusalem"                                  , "East Jerusalem"                                  , "", "", "", 9, "approved", "Tên riêng, không dịch"
"economic capital"                                , "vốn kinh tế"                                     , "", "approved", "", 9, "approved", ""
"engels"                                          , "Engels"                                          , "", "", "", 9, "approved", "Tên riêng, không dịch"
"farmer"                                          , "Farmer"                                          , "", "", "", 9, "approved", "Tên riêng, không dịch"
"first world"                                     , "first world"                                     , "", "", "", 9, "approved", "Tên riêng, không dịch"
"fordham"                                         , "Fordham"                                         , "", "", "", 9, "approved", "Tên riêng, không dịch"
"foucault"                                        , "Foucault"                                        , "", "", "", 9, "approved", "Tên riêng, không dịch"
"franklin"                                        , "Franklin"                                        , "", "", "", 9, "approved", "Tên riêng, không dịch"
"functionalism"                                   , "Functionalism"                                   , "", "", "", 9, "approved", "Tên riêng, không dịch"
"galtung"                                         , "Galtung"                                         , "", "", "", 9, "approved", "Tên riêng, không dịch"
"gardner"                                         , "Gardner"                                         , "", "", "", 9, "approved", "Tên riêng, không dịch"
"gaza"                                            , "Gaza"                                            , "", "", "", 9, "approved", "Tên riêng, không dịch"
"gender"                                          , "gender"                                          , "", "", "", 9, "approved", "Tên riêng, không dịch"
"gender relations"                                , "gender relations"                                , "", "", "", 9, "approved", "Tên riêng, không dịch"
"gerrymandering"                                  , "gerrymandering"                                  , "", "", "", 9, "approved", "Tên riêng, không dịch"
"giddens"                                         , "Giddens"                                         , "", "", "", 9, "approved", "Tên riêng, không dịch"
"glass ceilings"                                  , "glass ceilings"                                  , "", "", "", 9, "approved", "Tên riêng, không dịch"
"global north"                                    , "Global North"                                    , "", "", "", 9, "approved", "Tên riêng, không dịch"
"global south"                                    , "Global South"                                    , "", "", "", 9, "approved", "Tên riêng, không dịch"
"goodman"                                         , "Goodman"                                         , "", "", "", 9, "approved", "Tên riêng, không dịch"
"gramsci"                                         , "Gramsci"                                         , "", "", "", 9, "approved", "Tên riêng, không dịch"
"habitus"                                         , "thói quen"                                       , "", "approved", "", 9, "approved", ""
"haiti"                                           , "Haiti"                                           , "", "", "", 9, "approved", "Tên riêng, không dịch"
"harlem birthright project"                       , "Harlem Birthright Project"                       , "", "", "", 9, "approved", "Tên riêng, không dịch"
"harris"                                          , "Harris"                                          , "", "", "", 9, "approved", "Tên riêng, không dịch"
"harrison"                                        , "Harrison"                                        , "", "", "", 9, "approved", "Tên riêng, không dịch"
"hartman"                                         , "Hartman"                                         , "", "", "", 9, "approved", "Tên riêng, không dịch"
"hegemony"                                        , "hegemony"                                        , "", "", "", 9, "approved", "Tên riêng, không dịch"
"hicks-bartlett"                                  , "Hicks-Bartlett"                                  , "", "", "", 9, "approved", "Tên riêng, không dịch"
"hierarchy"                                       , "hierarchy"                                       , "", "", "", 9, "approved", "Tên riêng, không dịch"
"hollis"                                          , "Hollis"                                          , "", "", "", 9, "approved", "Tên riêng, không dịch"
"ideological state apparatuses"                   , "bộ máy nhà nước mang tính ý thức hệ"             , "", "approved", "", 9, "approved", ""
"inequality"                                      , "bất bình đẳng"                                   , "", "approved", "", 9, "approved", ""
"inequity"                                        , "bất bình đẳng"                                   , "", "approved", "", 9, "approved", ""
"institutional inequalities"                      , "bất bình đẳng thể chế"                           , "", "approved", "", 9, "approved", ""
"intergenerational wealth"                        , "sự giàu có giữa các thế hệ"                      , "", "approved", "", 9, "approved", ""
"international monetary fund (imf)"               , "International Monetary Fund (IMF)"               , "", "", "", 9, "approved", "Tên riêng, không dịch"
"interpersonal inequalities"                      , "bất bình đẳng giữa các cá nhân"                  , "", "approved", "", 9, "approved", ""
"intersectionality"                               , "Intersectionality"                               , "", "", "", 9, "approved", "Tên riêng, không dịch"
"israel"                                          , "Israel"                                          , "", "", "", 9, "approved", "Tên riêng, không dịch"
"jones"                                           , "Jones"                                           , "", "", "", 9, "approved", "Tên riêng, không dịch"
"kline"                                           , "Kline"                                           , "", "", "", 9, "approved", "Tên riêng, không dịch"
"ku klux klan"                                    , "Ku Klux Klan"                                    , "", "", "", 9, "approved", "Tên riêng, không dịch"
"malinowski"                                      , "Malinowski"                                      , "", "", "", 9, "approved", "Tên riêng, không dịch"
"marx"                                            , "Marx"                                            , "", "", "", 9, "approved", "Tên riêng, không dịch"
"mbembe"                                          , "Mbembe"                                          , "", "", "", 9, "approved", "Tên riêng, không dịch"
"mcintosh"                                        , "McIntosh"                                        , "", "", "", 9, "approved", "Tên riêng, không dịch"
"medical racism"                                  , "medical racism"                                  , "", "", "", 9, "approved", "Tên riêng, không dịch"
"meritocracy"                                     , "chế độ trọng dụng nhân tài"                      , "", "approved", "", 9, "approved", ""
"microaggressions"                                , "những hành vi vi phạm nhỏ"                       , "", "approved", "", 9, "approved", ""
"middle class"                                    , "middle class"                                    , "", "", "", 9, "approved", "Tên riêng, không dịch"
"misogynoir"                                      , "sự kỳ thị phụ nữ da đen"                         , "", "approved", "", 9, "approved", ""
"misogyny"                                        , "sự thù ghét phụ nữ"                              , "", "approved", "", 9, "approved", ""
"mode of production"                              , "mode of production"                              , "", "", "", 9, "approved", "Tên riêng, không dịch"
"mohanty"                                         , "Mohanty"                                         , "", "", "", 9, "approved", "Tên riêng, không dịch"
"morgan"                                          , "Morgan"                                          , "", "", "", 9, "approved", "Tên riêng, không dịch"
"moses"                                           , "Moses"                                           , "", "", "", 9, "approved", "Tên riêng, không dịch"
"move"                                            , "MOVE"                                            , "", "", "", 9, "approved", "Tên riêng, không dịch"
"mukhopadhyay"                                    , "Mukhopadhyay"                                    , "", "", "", 9, "approved", "Tên riêng, không dịch"
"mullings"                                        , "Mullings"                                        , "", "", "", 9, "approved", "Tên riêng, không dịch"
"nader"                                           , "Nader"                                           , "", "", "", 9, "approved", "Tên riêng, không dịch"
"nakba"                                           , "Nakba"                                           , "", "approved", "", 9, "approved", ""
"necropolitics"                                   , "necropolitics"                                   , "", "", "", 9, "approved", "Tên riêng, không dịch"
"neo-nazis"                                       , "neo-Nazis"                                       , "", "", "", 9, "approved", "Tên riêng, không dịch"
"neocolonialism"                                  , "chủ nghĩa tân thực dân"                          , "", "approved", "", 9, "approved", ""
"neoliberalism"                                   , "chủ nghĩa tân tự do"                             , "", "approved", "", 9, "approved", ""
"newman"                                          , "Newman"                                          , "", "", "", 9, "approved", "Tên riêng, không dịch"
"occupied palestinian territory (opt)"            , "Occupied Palestinian Territory (OPT)"            , "", "", "", 9, "approved", "Tên riêng, không dịch"
"oppression"                                      , "sự áp bức"                                       , "", "approved", "", 9, "approved", ""
"painter"                                         , "Painter"                                         , "", "", "", 9, "approved", "Tên riêng, không dịch"
"palestine"                                       , "Palestine"                                       , "", "", "", 9, "approved", "Tên riêng, không dịch"
"paradigms"                                       , "mô hình"                                         , "", "approved", "", 9, "approved", ""
"participant observation"                         , "participant observation"                         , "", "", "", 9, "approved", "Tên riêng, không dịch"
"patriarchy"                                      , "patriarchy"                                      , "", "", "", 9, "approved", "Tên riêng, không dịch"
"poole"                                           , "Poole"                                           , "", "", "", 9, "approved", "Tên riêng, không dịch"
"power"                                           , "quyền lực"                                       , "", "approved", "", 9, "approved", ""
"proletariat"                                     , "giai cấp vô sản"                                 , "", "approved", "", 9, "approved", ""
"quave"                                           , "Quave"                                           , "", "", "", 9, "approved", "Tên riêng, không dịch"
"race"                                            , "race"                                            , "", "", "", 9, "approved", "Tên riêng, không dịch"
"race avoidant"                                   , "race avoidant"                                   , "", "", "", 9, "approved", "Tên riêng, không dịch"
"racial capitalism"                               , "chủ nghĩa tư bản chủng tộc"                      , "", "approved", "", 9, "approved", ""
"racial disparities"                              , "racial disparities"                              , "", "", "", 9, "approved", "Tên riêng, không dịch"
"racial inequalities"                             , "racial inequalities"                             , "", "", "", 9, "approved", "Tên riêng, không dịch"
"racial refusal"                                  , "từ chối chủng tộc"                               , "", "approved", "", 9, "approved", ""
"racism"                                          , "racism"                                          , "", "", "", 9, "approved", "Tên riêng, không dịch"
"repressive state apparatuses"                    , "bộ máy nhà nước đàn áp"                          , "", "approved", "", 9, "approved", ""
"resistance"                                      , "sức chống cự"                                    , "", "approved", "", 9, "approved", ""
"rivera"                                          , "Rivera"                                          , "", "", "", 9, "approved", "Tên riêng, không dịch"
"robinson"                                        , "Robinson"                                        , "", "", "", 9, "approved", "Tên riêng, không dịch"
"runestad"                                        , "Runestad"                                        , "", "", "", 9, "approved", "Tên riêng, không dịch"
"said"                                            , "Said"                                            , "", "", "", 9, "approved", "Tên riêng, không dịch"
"sara minkara"                                    , "Sara Minkara"                                    , "", "", "", 9, "approved", "Tên riêng, không dịch"
"savagery"                                        , "savagery"                                        , "", "", "", 9, "approved", "Tên riêng, không dịch"
"school-to-prison pipeline"                       , "school-to-prison pipeline"                       , "", "", "", 9, "approved", "Tên riêng, không dịch"
"sexism"                                          , "sexism"                                          , "", "", "", 9, "approved", "Tên riêng, không dịch"
"social capital"                                  , "vốn xã hội"                                      , "", "approved", "", 9, "approved", ""
"social darwinism"                                , "Social Darwinism"                                , "", "", "", 9, "approved", "Tên riêng, không dịch"
"social inequalities"                             , "social inequalities"                             , "", "", "", 9, "approved", "Tên riêng, không dịch"
"social mobility"                                 , "di chuyển xã hội"                                , "", "approved", "", 9, "approved", ""
"social stratification"                           , "phân tầng xã hội"                                , "", "approved", "", 9, "approved", ""
"social structures"                               , "social structures"                               , "", "", "", 9, "approved", "Tên riêng, không dịch"
"social systems"                                  , "Social systems"                                  , "", "", "", 9, "approved", "Tên riêng, không dịch"
"society of black archaeologists (sba)"           , "Society of Black Archaeologists (SBA)"           , "", "", "", 9, "approved", "Tên riêng, không dịch"
"sojourner syndrome"                              , "Hội chứng Sojourner"                             , "", "approved", "", 9, "approved", ""
"spencer"                                         , "Spencer"                                         , "", "", "", 9, "approved", "Tên riêng, không dịch"
"state apparatus"                                 , "bộ máy nhà nước"                                 , "", "approved", "", 9, "approved", ""
"structural inequalities"                         , "bất bình đẳng cấu trúc"                          , "", "approved", "", 9, "approved", ""
"structural violence"                             , "structural violence"                             , "", "", "", 9, "approved", "Tên riêng, không dịch"
"studying in"                                     , "studying in"                                     , "", "", "", 9, "approved", "Tên riêng, không dịch"
"studying up"                                     , "studying up"                                     , "", "", "", 9, "approved", "Tên riêng, không dịch"
"symbolic capital"                                , "vốn biểu tượng"                                  , "", "approved", "", 9, "approved", ""
"symbolic violence"                               , "bạo lực mang tính biểu tượng"                    , "", "approved", "", 9, "approved", ""
"system"                                          , "system"                                          , "", "", "", 9, "approved", "Tên riêng, không dịch"
"systematic oppression"                           , "sự đàn áp có hệ thống"                           , "", "approved", "", 9, "approved", ""
"systemic inequalities"                           , "bất bình đẳng hệ thống"                          , "", "approved", "", 9, "approved", ""
"systemic oppression"                             , "systemic oppression"                             , "", "", "", 9, "approved", "Tên riêng, không dịch"
"systems"                                         , "hệ thống"                                        , "", "approved", "", 9, "approved", ""
"the prison notebooks"                            , "The Prison Notebooks"                            , "", "", "", 9, "approved", "Tên riêng, không dịch"
"the state apparatus"                             , "the state apparatus"                             , "", "", "", 9, "approved", "Tên riêng, không dịch"
"third world"                                     , "third world"                                     , "", "", "", 9, "approved", "Tên riêng, không dịch"
"truth"                                           , "Truth"                                           , "", "", "", 9, "approved", "Tên riêng, không dịch"
"tylor"                                           , "Tylor"                                           , "", "", "", 9, "approved", "Tên riêng, không dịch"
"unilinear cultural evolution (uce)"              , "unilinear cultural evolution (UCE)"              , "", "", "", 9, "approved", "Tên riêng, không dịch"
"weber"                                           , "Weber"                                           , "", "", "", 9, "approved", "Tên riêng, không dịch"
"welfare queen"                                   , "welfare queen"                                   , "", "", "", 9, "approved", "Tên riêng, không dịch"
"west bank"                                       , "West Bank"                                       , "", "", "", 9, "approved", "Tên riêng, không dịch"
"west-eastern divan orchestra"                    , "West-Eastern Divan Orchestra"                    , "", "", "", 9, "approved", "Tên riêng, không dịch"
"white privilege"                                 , "Đặc quyền của người da trắng"                    , "", "approved", "", 9, "approved", ""
"white supremacy"                                 , "Chủ nghĩa thượng đẳng da trắng"                  , "", "approved", "", 9, "approved", ""
