key,translation,options,desc_en,desc_vi,chapter,status,notes
"alternative hypothesis"  , "Đối thuyết (Giả thuyết đối lập)", "", "approved", "", 9, "approved", ""
"assumption"              , "Giả định"                       , "", "approved", "", 9, "approved", ""
"binomial distribution"   , "Phân phối nhị thức"             , "", "approved", "", 9, "approved", ""
"central limit theorem"   , "Định lý giới hạn trung tâm"     , "", "approved", "", 9, "approved", ""
"confidence intervals"    , "khoảng tin cậy"                 , "", "approved", "", 9, "approved", ""
"hypotheses"              , "Các giả thuyết"                 , "", "approved", "", 9, "approved", ""
"hypothesis test"         , "hypothesis test"                , "", "", "", 9, "approved", "Tên riêng, không dịch"
"hypothesis testing"      , "Kiểm định giả thuyết"            , "", "approved", "", 9, "approved", ""
"î±"                      , "Mức ý nghĩa α"                   , "", "approved", "", 9, "approved", ""
"level of significance"   , "Mức ý nghĩa"                    , "", "approved", "", 9, "approved", ""
"normally distributed"    , "Có phân phối chuẩn"             , "", "approved", "", 9, "approved", ""
"null hypothesis"         , "Giả thuyết không"               , "", "approved", "", 9, "approved", ""
"p-value"                 , "p-giá trị"                      , "", "approved", "", 9, "approved", ""
"simple random sample"    , "Mẫu ngẫu nhiên đơn giản"        , "", "approved", "", 9, "approved", ""
"standard deviation"      , "Độ lệch chuẩn"                  , "", "approved", "", 9, "approved", ""
"student's t-distribution", "Phân phối Student (phân phối t)", "", "approved", "", 9, "approved", ""
"type i error"            , "Sai lầm loại I"                 , "", "approved", "", 9, "approved", ""
"type ii error"           , "Sai lầm loại II"                , "", "approved", "", 9, "approved", ""
