key,translation,options,desc_en,desc_vi,chapter,status,notes
"-scapes"                          , "-scapes"                          , "", "", "", 10, "approved", "Tên riêng, không dịch"
"african diaspora"                 , "African diaspora"                 , "", "", "", 10, "approved", "Tên riêng, không dịch"
"age of discovery"                 , "Age of Discovery"                 , "", "", "", 10, "approved", "Tên riêng, không dịch"
"algaze"                           , "Algaze"                           , "", "", "", 10, "approved", "Tên riêng, không dịch"
"appadurai"                        , "Appadurai"                        , "", "", "", 10, "approved", "Tên riêng, không dịch"
"asylum"                           , "tị nạn"                           , "", "approved", "", 10, "approved", ""
"ayahuasca ceremony"               , "ayahuasca ceremony"               , "", "", "", 10, "approved", "Tên riêng, không dịch"
"bering strait theory"             , "Bering Strait theory"             , "", "", "", 10, "approved", "Tên riêng, không dịch"
"beringia"                         , "Beringia"                         , "", "", "", 10, "approved", "Tên riêng, không dịch"
"brain drain migration"            , "brain drain migration"            , "", "", "", 10, "approved", "Tên riêng, không dịch"
"cactus hill site"                 , "Cactus Hill Site"                 , "", "", "", 10, "approved", "Tên riêng, không dịch"
"california textbook controversy"  , "California textbook controversy"  , "", "", "", 10, "approved", "Tên riêng, không dịch"
"chain migration"                  , "di cư theo chuỗi"                 , "", "approved", "", 10, "approved", ""
"circular migration"               , "di cư tuần hoàn"                  , "", "approved", "", 10, "approved", ""
"classic colonialism"              , "classic colonialism"              , "", "", "", 10, "approved", "Tên riêng, không dịch"
"closed corporate communities"     , "closed corporate communities"     , "", "", "", 10, "approved", "Tên riêng, không dịch"
"clovis culture"                   , "Clovis culture"                   , "", "", "", 10, "approved", "Tên riêng, không dịch"
"coastal route"                    , "coastal route"                    , "", "", "", 10, "approved", "Tên riêng, không dịch"
"collective memory"                , "collective memory"                , "", "", "", 10, "approved", "Tên riêng, không dịch"
"colonialism"                      , "colonialism"                      , "", "", "", 10, "approved", "Tên riêng, không dịch"
"columbus"                         , "Columbus"                         , "", "", "", 10, "approved", "Tên riêng, không dịch"
"covid-19"                         , "COVID-19"                         , "", "", "", 10, "approved", "Tên riêng, không dịch"
"coyote"                           , "coyote"                           , "", "", "", 10, "approved", "Tên riêng, không dịch"
"creolization"                     , "creolization"                     , "", "", "", 10, "approved", "Tên riêng, không dịch"
"cultural hybridity"               , "sự lai tạp văn hóa"               , "", "approved", "", 10, "approved", ""
"cultural identity"                , "cultural identity"                , "", "", "", 10, "approved", "Tên riêng, không dịch"
"cultural innovation"              , "cultural innovation"              , "", "", "", 10, "approved", "Tên riêng, không dịch"
"debra l. friedkin site"           , "Debra L. Friedkin Site"           , "", "", "", 10, "approved", "Tên riêng, không dịch"
"diaspora"                         , "cộng đồng người di cư"            , "", "approved", "", 10, "approved", ""
